Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
OUFF11;Títulos e Val. Mob.;85.35;6592.0;0.4;0.42%;2.06%;4.41%;7.75%;0.69%;0.73%;0.65%;5.07%;2.45%;2.88%;-6.16%;101.763.768,78;91.32;93.0;0.44%;-6.89%;-6.48%;-11.65%;;;0
WTSP11B;Híbrido;53.5;200.0;0.16;0.29%;0.95%;2.53%;0,00%;0.32%;0.42%;0,00%;2.97%;-5.09%;-4.81%;-18.98%;90.403.230,62;91.08;59.0;0.18%;-0.02%;0.16%;1.6%;;;0
OUCY11;Títulos e Val. Mob.;84.5;2239.0;0.55;0.65%;1.88%;3.91%;7.53%;0.63%;0.65%;0.63%;4.5%;-2.11%;-1.47%;-13.88%;81.746.687,12;98.27;86.0;0.56%;-0.9%;-0.35%;1.9%;;;0
OULG11;Outros;92.5;3221.0;0.61;0.64%;1.99%;3.98%;7.84%;0.66%;0.66%;0.65%;4.28%;-2.14%;-1.51%;-7.83%;239.639.318,35;96.58;96.0;0.63%;-0.04%;0.59%;4.71%;0,00%;;2
BTLG11;Logística;107.85;21628.0;0.5;0.46%;1.4%;3.09%;5.68%;0.47%;0.51%;0.47%;3.64%;4.59%;5.07%;4.52%;700.833.875,48;100.34;107.0;0.5%;1.18%;1.68%;3.9%;0,00%;;8
RBRL11;Logística;114.89;1737.0;1;0.83%;1.91%;2.93%;2.93%;0.64%;0.49%;0.24%;2.93%;0,00%;0.83%;23.56%;182.693.647,14;100.94;114.0;0.99%;1,00%;2,00%;2,00%;0,00%;0,00%;4
FCFL11;Outros;112.15;780.0;0.56;0.53%;1.56%;3.06%;5.72%;0.52%;0.51%;0.48%;3.49%;1.32%;1.85%;-18.62%;368.284.488,76;106.01;106.0;0.53%;0.05%;0.58%;3.66%;0,00%;;1
XPML11;Shoppings;107.72;39839.0;0.03;0.03%;0.69%;0.69%;3.35%;0.23%;0.12%;0.28%;1.05%;8.57%;8.6%;-20.61%;1.979.204.550,38;108.7;99.0;0.25%;0.09%;0.34%;1.12%;4.1%;;13
ALZR11;Logística;135;8916.0;0.59;0.46%;1.41%;3.16%;5.84%;0.47%;0.53%;0.49%;3.61%;3.39%;3.87%;2.54%;351.244.587,05;100.74;134.0;0.59%;3.17%;3.78%;11.15%;0,00%;;7
FLRP11;Shoppings;1398.98;14.0;4.96;0.37%;1.74%;3.09%;5.9%;0.58%;0.52%;0.49%;1.23%;0,00%;0.37%;1.23%;96.498.899,84;1613.29;87.0;1.4%;0.49%;1.9%;2.62%;1.89%;;1
CNES11;Lajes Corporativas;67.49;838.0;0.34;0.53%;1.14%;2.37%;3.68%;0.38%;0.39%;0.31%;2.57%;-7.51%;-7.02%;-22.73%;280.384.555,91;95.07;71.0;0.36%;0.05%;0.41%;1.09%;36.3%;;1
FVBI11;Lajes Corporativas;159.71;3042.0;30;18.78%;19.64%;20.88%;23.14%;6.55%;3.48%;1.93%;21.69%;0,00%;18.78%;26.31%;343.411.599,87;159.73;100.0;0.43%;0,00%;0.43%;11.88%;0,00%;;1
EDGA11;Lajes Corporativas;31.07;1893.0;0.26;0.85%;1.27%;2.52%;4.86%;0.42%;0.42%;0.4%;2.88%;-4.95%;-4.14%;-39.91%;301.025.549,14;78.97;39.0;0.07%;0.07%;0.14%;1.12%;41.7%;;1
RECR11;Títulos e Val. Mob.;102.13;9403.0;0.7;0.7%;2.08%;4.6%;8.62%;0.69%;0.77%;0.72%;5.61%;-1.38%;-0.69%;-0.97%;666.915.448,71;97.27;105.0;0.72%;0.09%;0.81%;6.16%;;;0
FPAB11;Lajes Corporativas;310.1;22.0;1.5;0.48%;1.55%;3.06%;6,00%;0.52%;0.51%;0.5%;3.9%;-3.11%;-2.64%;-20.48%;310.176.215,92;413.57;75.0;0.39%;0,00%;0.38%;2.97%;24.43%;;1
SADI11;Títulos e Val. Mob.;86.2;34965.0;0.21;0.25%;0.9%;2.04%;4.02%;0.3%;0.34%;0.33%;2.73%;12.69%;12.98%;-13.49%;319.244.162,40;100.38;86.0;0.24%;-0.07%;0.17%;2.09%;;;0
SHPH11;Shoppings;945;89.0;1.85;0.2%;0.71%;0.71%;3.15%;0.24%;0.12%;0.26%;1.63%;-1.14%;-0.94%;-7.74%;478.128.756,13;785.17;120.0;0.25%;-0.03%;0.22%;0.7%;2.7%;;1
VLOL11;Lajes Corporativas;103.25;4327.0;0.49;0.48%;1.35%;2.61%;5.12%;0.45%;0.44%;0.43%;3.42%;-1.96%;-1.49%;-9.68%;161.794.047,62;90.65;114.0;0.52%;0.09%;0.61%;3.58%;0,00%;;1
